Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Contacts_Users,Firefox 58.0,,2018-03-06 11:50:27,2018-03-06 11:51:06,"38,562s",FAILED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-03-06 11:50:27,2018-03-06 11:50:32,"4,610s",PASSED
openBrowser,Firefox 58.0,,2018-03-06 11:50:28,2018-03-06 11:50:30,"2,950s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-06 11:50:30,2018-03-06 11:50:31,"0,211s",PASSED
setText,Firefox 58.0,,2018-03-06 11:50:31,2018-03-06 11:50:31,"0,215s",PASSED
setText,Firefox 58.0,,2018-03-06 11:50:31,2018-03-06 11:50:31,"0,044s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:31,2018-03-06 11:50:32,"0,807s",PASSED
waitForPageLoad,Firefox 58.0,,2018-03-06 11:50:32,2018-03-06 11:50:32,"0,081s",PASSED
,,,,,,
Test Cases/Non admin contact creation,Firefox 58.0,,2018-03-06 11:50:32,2018-03-06 11:50:34,"2,637s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-06 11:50:32,2018-03-06 11:50:32,"0,504s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:32,2018-03-06 11:50:33,"0,245s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:33,2018-03-06 11:50:33,"0,315s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:33,2018-03-06 11:50:34,"0,692s",PASSED
setText,Firefox 58.0,,2018-03-06 11:50:34,2018-03-06 11:50:34,"0,044s",PASSED
setText,Firefox 58.0,,2018-03-06 11:50:34,2018-03-06 11:50:34,"0,032s",PASSED
setText,Firefox 58.0,,2018-03-06 11:50:34,2018-03-06 11:50:34,"0,035s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:34,2018-03-06 11:50:34,"0,031s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:34,2018-03-06 11:50:34,"0,230s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:34,2018-03-06 11:50:34,"0,357s",PASSED
,,,,,,
Test Cases/Contact Edit,Firefox 58.0,,2018-03-06 11:50:34,2018-03-06 11:51:05,"30,945s",FAILED
navigateToUrl,Firefox 58.0,,2018-03-06 11:50:35,2018-03-06 11:50:35,"0,474s",PASSED
click,Firefox 58.0,,2018-03-06 11:50:35,2018-03-06 11:51:05,"30,379s",FAILED
