Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Time Periods,Firefox 58.0,,2018-02-27 15:32:07,2018-02-27 15:33:17,"1m - 9,420s",FAILED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-02-27 15:32:08,2018-02-27 15:32:12,"4,149s",PASSED
openBrowser,Firefox 58.0,,2018-02-27 15:32:08,2018-02-27 15:32:11,"2,966s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-27 15:32:11,2018-02-27 15:32:11,"0,196s",PASSED
setText,Firefox 58.0,,2018-02-27 15:32:11,2018-02-27 15:32:11,"0,114s",PASSED
setText,Firefox 58.0,,2018-02-27 15:32:11,2018-02-27 15:32:11,"0,046s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:11,2018-02-27 15:32:12,"0,555s",PASSED
waitForPageLoad,Firefox 58.0,,2018-02-27 15:32:12,2018-02-27 15:32:12,"0,042s",PASSED
,,,,,,
Test Cases/Time Period Duplication,Firefox 58.0,,2018-02-27 15:32:12,2018-02-27 15:32:44,"32,395s",FAILED
navigateToUrl,Firefox 58.0,,2018-02-27 15:32:12,2018-02-27 15:32:12,"0,380s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:12,2018-02-27 15:32:13,"0,265s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:13,2018-02-27 15:32:13,"0,766s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:13,2018-02-27 15:32:14,"0,470s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:14,2018-02-27 15:32:44,"30,371s",FAILED
,,,,,,
Test Cases/Time Period Deletion,Firefox 58.0,,2018-02-27 15:32:44,2018-02-27 15:33:17,"32,355s",FAILED
navigateToUrl,Firefox 58.0,,2018-02-27 15:32:44,2018-02-27 15:32:45,"0,409s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:45,2018-02-27 15:32:45,"0,243s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:45,2018-02-27 15:32:46,"0,816s",PASSED
click,Firefox 58.0,,2018-02-27 15:32:46,2018-02-27 15:32:46,"0,450s",PASSED
check,Firefox 58.0,,2018-02-27 15:32:46,2018-02-27 15:33:17,"30,344s",FAILED
