Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Host Creation,Firefox 58.0,,2018-02-27 14:34:12,2018-02-27 14:34:17,"4,778s",FAILED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-02-27 14:34:13,2018-02-27 14:34:17,"4,236s",PASSED
openBrowser,Firefox 58.0,,2018-02-27 14:34:13,2018-02-27 14:34:16,"2,782s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-27 14:34:16,2018-02-27 14:34:16,"0,253s",PASSED
setText,Firefox 58.0,,2018-02-27 14:34:16,2018-02-27 14:34:16,"0,087s",PASSED
setText,Firefox 58.0,,2018-02-27 14:34:16,2018-02-27 14:34:16,"0,071s",PASSED
click,Firefox 58.0,,2018-02-27 14:34:16,2018-02-27 14:34:17,"0,701s",PASSED
closeBrowser,Firefox 58.0,,2018-02-27 14:34:17,2018-02-27 14:34:17,"0,159s",PASSED
,,,,,,
Test Cases/Export Config,Firefox 58.0,,2018-02-27 14:34:17,2018-02-27 14:34:17,"0,178s",FAILED
click,Firefox 58.0,,2018-02-27 14:34:17,2018-02-27 14:34:17,"0,014s",FAILED
,,,,,,
Test Cases/Create Host,Firefox 58.0,,2018-02-27 14:34:17,2018-02-27 14:34:17,"0,084s",FAILED
click,Firefox 58.0,,2018-02-27 14:34:17,2018-02-27 14:34:17,"0,004s",FAILED
