Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hosts,Firefox 58.0,,2018-03-20 15:11:01,2018-03-20 15:11:27,"26,334s",PASSED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-03-20 15:11:01,2018-03-20 15:11:06,"4,813s",PASSED
openBrowser,Firefox 58.0,,2018-03-20 15:11:01,2018-03-20 15:11:04,"3,018s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-20 15:11:04,2018-03-20 15:11:04,"0,248s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-20 15:11:04,2018-03-20 15:11:05,"0,350s",PASSED
setText,Firefox 58.0,,2018-03-20 15:11:05,2018-03-20 15:11:05,"0,133s",PASSED
setText,Firefox 58.0,,2018-03-20 15:11:05,2018-03-20 15:11:05,"0,047s",PASSED
click,Firefox 58.0,,2018-03-20 15:11:05,2018-03-20 15:11:05,"0,641s",PASSED
waitForPageLoad,Firefox 58.0,,2018-03-20 15:11:05,2018-03-20 15:11:06,"0,078s",PASSED
,,,,,,
Test Cases/Host Creation,Firefox 58.0,,2018-03-20 15:11:06,2018-03-20 15:11:25,"18,941s",PASSED
Statement - n = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Firefox 58.0,,2018-03-20 15:11:06,2018-03-20 15:11:06,"0,000s",PASSED
Statement - count = 0,Firefox 58.0,,2018-03-20 15:11:06,2018-03-20 15:11:06,"0,000s",PASSED
"Statement - For ([i = 0, i < 5, (i++)])",Firefox 58.0,,2018-03-20 15:11:06,2018-03-20 15:11:25,"18,782s",PASSED
,,,,,,
Test Cases/Export Config,Firefox 58.0,,2018-03-20 15:11:25,2018-03-20 15:11:27,"2,167s",PASSED
click,Firefox 58.0,,2018-03-20 15:11:25,2018-03-20 15:11:25,"0,384s",PASSED
click,Firefox 58.0,,2018-03-20 15:11:25,2018-03-20 15:11:25,"0,243s",PASSED
click,Firefox 58.0,,2018-03-20 15:11:25,2018-03-20 15:11:26,"0,494s",PASSED
click,Firefox 58.0,,2018-03-20 15:11:26,2018-03-20 15:11:26,"0,221s",PASSED
click,Firefox 58.0,,2018-03-20 15:11:26,2018-03-20 15:11:26,"0,220s",PASSED
selectOptionByValue,Firefox 58.0,,2018-03-20 15:11:26,2018-03-20 15:11:26,"0,288s",PASSED
click,Firefox 58.0,,2018-03-20 15:11:26,2018-03-20 15:11:27,"0,224s",PASSED
