Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hosts,Firefox 58.0,,2018-03-13 10:49:42,2018-03-13 10:50:07,"24,348s",PASSED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-03-13 10:49:43,2018-03-13 10:49:47,"4,523s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:49:43,2018-03-13 10:49:46,"2,965s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:49:46,2018-03-13 10:49:46,"0,091s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:49:46,2018-03-13 10:49:46,"0,269s",PASSED
setText,Firefox 58.0,,2018-03-13 10:49:46,2018-03-13 10:49:46,"0,126s",PASSED
setText,Firefox 58.0,,2018-03-13 10:49:46,2018-03-13 10:49:46,"0,053s",PASSED
click,Firefox 58.0,,2018-03-13 10:49:46,2018-03-13 10:49:47,"0,741s",PASSED
waitForPageLoad,Firefox 58.0,,2018-03-13 10:49:47,2018-03-13 10:49:47,"0,034s",PASSED
,,,,,,
Test Cases/Host Creation,Firefox 58.0,,2018-03-13 10:49:47,2018-03-13 10:50:07,"19,354s",PASSED
Statement - n = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Firefox 58.0,,2018-03-13 10:49:47,2018-03-13 10:49:47,"0,001s",PASSED
Statement - count = 0,Firefox 58.0,,2018-03-13 10:49:47,2018-03-13 10:49:47,"0,000s",PASSED
"Statement - For ([i = 0, i < 5, (i++)])",Firefox 58.0,,2018-03-13 10:49:47,2018-03-13 10:50:07,"19,150s",PASSED
Statement - While (count < n),Firefox 58.0,,2018-03-13 10:50:07,2018-03-13 10:50:07,"0,000s",PASSED
