Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Time Periods,Firefox 58.0,,2018-02-27 15:24:30,2018-02-27 15:24:45,"14,742s",FAILED
,,,,,,
Test Cases/Time Period Duplication,Firefox 58.0,,2018-02-27 15:24:31,2018-02-27 15:24:45,"14,279s",FAILED
openBrowser,Firefox 58.0,,2018-02-27 15:24:31,2018-02-27 15:24:34,"3,038s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-27 15:24:34,2018-02-27 15:24:34,"0,226s",PASSED
click,Firefox 58.0,,2018-02-27 15:24:34,2018-02-27 15:24:45,"10,720s",FAILED
,,,,,,
Test Cases/Time Period Deletion,Firefox 58.0,,2018-02-27 15:24:45,2018-02-27 15:24:45,"0,199s",FAILED
openBrowser,Firefox 58.0,,2018-02-27 15:24:45,2018-02-27 15:24:45,"0,065s",FAILED
