Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Host Creation,Firefox 58.0,,2018-02-27 14:38:14,2018-02-27 14:38:24,"10,425s",PASSED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-02-27 14:38:14,2018-02-27 14:38:18,"4,052s",PASSED
openBrowser,Firefox 58.0,,2018-02-27 14:38:14,2018-02-27 14:38:17,"2,751s",PASSED
navigateToUrl,Firefox 58.0,,2018-02-27 14:38:17,2018-02-27 14:38:17,"0,189s",PASSED
setText,Firefox 58.0,,2018-02-27 14:38:17,2018-02-27 14:38:17,"0,136s",PASSED
setText,Firefox 58.0,,2018-02-27 14:38:17,2018-02-27 14:38:17,"0,044s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:17,2018-02-27 14:38:18,"0,745s",PASSED
,,,,,,
Test Cases/Create Host,Firefox 58.0,,2018-02-27 14:38:18,2018-02-27 14:38:22,"3,842s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:18,2018-02-27 14:38:19,"0,236s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:19,2018-02-27 14:38:19,"0,382s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:19,2018-02-27 14:38:20,"0,843s",PASSED
setText,Firefox 58.0,,2018-02-27 14:38:20,2018-02-27 14:38:20,"0,043s",PASSED
setText,Firefox 58.0,,2018-02-27 14:38:20,2018-02-27 14:38:20,"0,038s",PASSED
setText,Firefox 58.0,,2018-02-27 14:38:20,2018-02-27 14:38:20,"0,045s",PASSED
setText,Firefox 58.0,,2018-02-27 14:38:20,2018-02-27 14:38:20,"0,030s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-27 14:38:20,2018-02-27 14:38:20,"0,344s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:20,2018-02-27 14:38:20,"0,034s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:20,2018-02-27 14:38:21,"0,225s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:21,2018-02-27 14:38:21,"0,233s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:21,2018-02-27 14:38:21,"0,233s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:21,2018-02-27 14:38:22,"0,977s",PASSED
,,,,,,
Test Cases/Export Config,Firefox 58.0,,2018-02-27 14:38:22,2018-02-27 14:38:24,"2,098s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:22,2018-02-27 14:38:23,"0,442s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:23,2018-02-27 14:38:23,"0,231s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:23,2018-02-27 14:38:23,"0,270s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:23,2018-02-27 14:38:23,"0,231s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:23,2018-02-27 14:38:23,"0,247s",PASSED
selectOptionByValue,Firefox 58.0,,2018-02-27 14:38:23,2018-02-27 14:38:24,"0,318s",PASSED
click,Firefox 58.0,,2018-02-27 14:38:24,2018-02-27 14:38:24,"0,236s",PASSED
waitForPageLoad,Firefox 58.0,,2018-02-27 14:38:24,2018-02-27 14:38:24,"0,028s",PASSED
