Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hosts,Firefox 58.0,,2018-03-13 10:44:45,2018-03-13 10:45:12,"27,152s",PASSED
,,,,,,
Test Cases/Basic Login,Firefox 58.0,,2018-03-13 10:44:45,2018-03-13 10:44:51,"5,376s",PASSED
openBrowser,Firefox 58.0,,2018-03-13 10:44:46,2018-03-13 10:44:49,"3,220s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-13 10:44:49,2018-03-13 10:44:49,"0,052s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-13 10:44:49,2018-03-13 10:44:50,"0,646s",PASSED
setText,Firefox 58.0,,2018-03-13 10:44:50,2018-03-13 10:44:50,"0,225s",PASSED
setText,Firefox 58.0,,2018-03-13 10:44:50,2018-03-13 10:44:50,"0,125s",PASSED
click,Firefox 58.0,,2018-03-13 10:44:50,2018-03-13 10:44:51,"0,735s",PASSED
waitForPageLoad,Firefox 58.0,,2018-03-13 10:44:51,2018-03-13 10:44:51,"0,060s",PASSED
,,,,,,
Test Cases/Host Creation,Firefox 58.0,,2018-03-13 10:44:51,2018-03-13 10:45:12,"21,281s",PASSED
Statement - n = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Firefox 58.0,,2018-03-13 10:44:51,2018-03-13 10:44:51,"0,001s",PASSED
Statement - count = 0,Firefox 58.0,,2018-03-13 10:44:51,2018-03-13 10:44:51,"0,001s",PASSED
"Statement - For ([i = 0, i < 5, (i++)])",Firefox 58.0,,2018-03-13 10:44:51,2018-03-13 10:45:12,"21,109s",PASSED
Statement - While (count < n),Firefox 58.0,,2018-03-13 10:45:12,2018-03-13 10:45:12,"0,000s",PASSED
